# -------------------------------------------------------------------------
#
#  Copyright (c) 1999 Network Appliance, Inc.
#  All rights reserved.
#
# -------------------------------------------------------------------------
#
#  This file maps the short MIB names in the first column to the
#  SNMP object identifier (OID) in the second column.  These OIDs
#  are appropriate for use with the "snmp traps" command for defining
#  your own traps.  See the online documentation for details.
#
#  Refer to the appropriate MIB (rfc1213.mib or netapp.mib) for
#  a complete description of each object.
#
# -------------------------------------------------------------------------

productType                    snmp.1.3.6.1.4.1.789.1.1.1.0
productVersion                 snmp.1.3.6.1.4.1.789.1.1.2.0
productId                      snmp.1.3.6.1.4.1.789.1.1.3.0
productVendor                  snmp.1.3.6.1.4.1.789.1.1.4.0
cpuUpTime                      snmp.1.3.6.1.4.1.789.1.2.1.1.0
cpuBusyTime                    snmp.1.3.6.1.4.1.789.1.2.1.2.0
cpuBusyTimePerCent             snmp.1.3.6.1.4.1.789.1.2.1.3.0
cpuIdleTime                    snmp.1.3.6.1.4.1.789.1.2.1.4.0
cpuIdleTimePerCent             snmp.1.3.6.1.4.1.789.1.2.1.5.0
miscNfsOps                     snmp.1.3.6.1.4.1.789.1.2.2.1.0
miscNetRcvdKB                  snmp.1.3.6.1.4.1.789.1.2.2.2.0
miscNetSentKB                  snmp.1.3.6.1.4.1.789.1.2.2.3.0
miscGlobalStatus               snmp.1.3.6.1.4.1.789.1.2.2.4.0
miscGlobalStatusMessage        snmp.1.3.6.1.4.1.789.1.2.2.25.0
cfSettings                     snmp.1.3.6.1.4.1.789.1.2.3.1.0
cfState                        snmp.1.3.6.1.4.1.789.1.2.3.2.0
cfCannotTakeoverCause          snmp.1.3.6.1.4.1.789.1.2.3.3.0
cfPartnerStatus                snmp.1.3.6.1.4.1.789.1.2.3.4.0
cfPartnerLastStatusUpdate      snmp.1.3.6.1.4.1.789.1.2.3.5.0
cfPartnerName                  snmp.1.3.6.1.4.1.789.1.2.3.6.0
cfPartnerSysid                 snmp.1.3.6.1.4.1.789.1.2.3.7.0
cfInterconnectStatus           snmp.1.3.6.1.4.1.789.1.2.3.8.0
envOverTemperature             snmp.1.3.6.1.4.1.789.1.2.4.1.0
